rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,targetDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
10,10,-1,OLD,20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,20191004,36175010,0.6,-40709310,-52.9,2019606890,4064,-4525,-52.7,248679,156,254
1,1,0,OLD,20199950,조커,2019-10-02,20191003,5192536910,48.6,2512047220,93.7,7900941800,587817,264408,81.8,914028,1356,6422
2,2,0,OLD,20195920,가장 보통의 연애,2019-10-02,20191003,2460434860,23.0,1307765020,113.5,3685467200,285221,139647,95.9,439669,1073,5191
3,3,0,OLD,20184483,퍼펙트맨,2019-10-02,20191003,1387006740,13.0,779553300,128.3,2728315200,162406,84958,109.7,338858,835,3344
4,4,0,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20191003,623094600,5.8,349321200,127.6,7414519800,75592,39089,107.1,935896,646,1706
5,5,3,OLD,20195941,소피와 드래곤: 마법책의 비밀,2019-10-02,20191003,250118410,2.3,233862910,1438.7,269181910,32074,29842,1337,34618,441,628
6,6,-1,OLD,20194456,양자물리학,2019-09-25,20191003,192605490,1.8,89655850,87.1,4247050420,22676,9450,71.5,520463,487,963
7,7,-1,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20191003,138009960,1.3,55245740,66.8,39297076584,16081,5642,54,4539323,379,660
8,8,0,NEW,20196380,몬스터 하우스,2019-10-03,20191003,119728200,1.1,119728200,100,128664200,14803,14803,100,16045,182,262
9,9,-2,OLD,20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,20191003,76884320,0.7,33478840,77.1,1983431880,8589,3265,61.3,244615,167,287
10,10,31,OLD,20193743,오션스: 문어구출대작전,2019-10-03,20191003,35324840,0.3,33569840,1912.8,37079840,4483,4288,2199,4678,191,221
1,1,11,OLD,20199950,조커,2019-10-02,20191002,2680489690,52.7,2653414490,9800.2,2708404890,323409,320687,11781.3,326211,1192,5576
2,2,14,OLD,20195920,가장 보통의 연애,2019-10-02,20191002,1152669840,22.7,1143793840,12886.4,1225032340,145574,144050,9452.1,154448,1006,4912
3,3,4,OLD,20184483,퍼펙트맨,2019-10-02,20191002,607453440,12.0,582036440,2289.9,1341308460,77448,73817,2033,176452,894,3704
4,4,-3,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20191002,273773400,5.4,-212684420,-43.7,6791425200,36503,-27811,-43.2,860304,673,1792
5,5,-3,OLD,20194456,양자물리학,2019-09-25,20191002,102949640,2.0,-263959650,-71.9,4054444930,13226,-33264,-71.6,497787,509,1055
6,6,-3,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20191002,82764220,1.6,-165305570,-66.6,39159066624,10439,-21370,-67.2,4523242,408,825
7,7,-3,OLD,20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,20191002,43405480,0.9,-74811760,-63.3,1906547560,5324,-9565,-64.2,236026,208,356
8,8,0,NEW,20195941,소피와 드래곤: 마법책의 비밀,2019-10-02,20191002,16255500,0.3,16255500,100,19063500,2232,2232,100,2544,247,270
9,9,10,OLD,20181103,벌새,2019-08-29,20191002,10389280,0.2,1850760,21.7,899879415,1358,248,22.3,109839,58,86
10,10,-5,OLD,20192982,애드 아스트라,2019-09-19,20191002,9067480,0.2,-43331430,-82.7,4429191560,1197,-5491,-82.1,502889,56,76
1,1,0,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20191001,486457820,30.4,-44863420,-8.4,6517651800,64314,-5463,-7.8,823801,997,4602
